id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
68	"chen, zai-zhong"	0.5418	-0.6133	22	7	7	1	2018
69	"cheng, jinping"	-0.4396	-1.0504	45	1	2	2	2020
70	"chernick, melissa"	-0.9321	0.1693	8	11	11	1	2021
71	"ching-fong yeung, kirsten"	-0.9426	0.4985	43	2	2	1	2019
72	"chinonyerem, delight"	0.8053	-0.6779	26	5	5	1	2020
73	"chivers, douglas p."	0.4187	-0.1239	4	9	9	1	2020
74	"cho, hyun-ju"	-0.0823	-0.9938	18	8	8	1	2019
75	"choi, jin soo"	1.0745	0.0192	39	4	4	1	2018
76	"chouvellon, fannie"	0.2048	0.3569	1	8	8	1	2020
77	"clérandeau, christelle"	0.2055	0.2871	1	21	34	4	2020
78	"coffin, scott"	0.2117	1.0814	40	4	4	1	2020
79	"compa, montserrat"	-0.0672	0.0382	13	9	9	1	2021
80	"cormier, bettie"	0.1744	0.1527	1	16	27	3	2020
81	"cousin, xavier"	0.2143	0.1177	1	16	27	3	2020
82	"crebassa, jean-claude"	0.2373	0.2182	1	14	21	2	2020.5
83	"critchell, kay"	-1.4006	-0.0075	46	1	1	1	2018
84	"cui, hongwu"	-0.9694	-0.3468	20	5	5	1	2019
85	"da costa araújo, amanda pereira"	-0.0972	0.5493	2	10	11	2	2020.5
86	"danion, morgane"	0.2355	0.3983	1	8	8	1	2020
87	"de andrade vieira, julya emmanuela"	-0.1445	0.5352	2	2	2	1	2020
88	"de oliveira, joão pedro justiniano"	-0.1089	0.7299	2	5	5	1	2021
89	"del giacco, luca"	0.0141	-0.4943	27	6	11	2	2020
90	"della torre, camilla"	-0.0061	-0.5741	27	6	11	2	2020
91	"deudero, salud"	-0.0845	-0.0271	13	9	9	1	2021
92	"di giulio, richard t."	-0.592	-0.8318	14	9	15	3	2018.6667
93	"diamond, miriam l."	-0.2561	-0.6527	17	8	8	1	2017
